Close_Diff,High_Diff,Low_Diff,Open_Diff,Day_of_Week,Day_of_Month,Month,MA_50_Diff,MA_200_Diff,EMA_9_Diff,EMA_50_Diff,EMA_100_Diff,MACD,MACD_Signal,RSI,Date,model_smart_dumb_spread_close,model_percent_bearish_close
0.252,0.436,0.192,0.252,2.0,21.0,12.0,2.489,4.283,-0.026,1.601,2.646,7.742,9.755,47.959,2005-12-21,-0.36,0.26
0.422,-0.093,0.229,0.422,3.0,22.0,12.0,2.756,4.662,0.316,1.936,2.994,7.627,9.33,52.982,2005-12-22,-0.42,0.39
0.043,0.124,0.271,0.043,4.0,23.0,12.0,2.653,4.675,0.287,1.9,2.975,7.493,8.962,56.769,2005-12-23,-0.45,0.26
-0.955,0.163,-0.741,-0.955,1.0,27.0,12.0,1.602,3.736,-0.54,0.916,1.999,6.336,8.437,43.936,2005-12-27,-0.38,0.13
0.13,-0.844,0.0,0.13,2.0,28.0,12.0,1.621,3.837,-0.328,1.004,2.084,5.487,7.847,50.736,2005-12-28,-0.32,0.1
-0.298,-0.039,-0.188,-0.298,3.0,29.0,12.0,1.206,3.523,-0.502,0.68,1.756,4.46,7.17,48.745,2005-12-29,-0.27,0.1
-0.489,-0.491,-0.605,-0.489,4.0,30.0,12.0,0.636,3.026,-0.797,0.185,1.248,3.116,6.359,40.636,2005-12-30,-0.23,0.13
1.643,1.26,-0.068,1.643,1.0,3.0,1.0,2.099,4.562,0.666,1.728,2.788,3.663,5.82,55.324,2006-01-03,-0.24,0.16
0.367,0.405,1.766,0.367,2.0,4.0,1.0,2.31,4.876,0.824,2.006,3.082,4.422,5.54,53.953,2006-01-04,-0.27,0.16
0.002,0.121,0.202,0.002,3.0,5.0,1.0,2.195,4.838,0.66,1.928,3.022,4.968,5.426,50.521,2006-01-05,-0.33,0.23
0.94,0.719,0.25,0.94,4.0,6.0,1.0,2.968,5.68,1.268,2.73,3.847,6.294,5.6,58.94,2006-01-06,-0.37,0.35
0.366,0.365,0.89,0.366,0.0,9.0,1.0,3.168,5.978,1.302,2.964,4.115,7.636,6.007,63.882,2006-01-09,-0.41,0.26
-0.036,-0.049,-0.083,-0.036,1.0,10.0,1.0,2.962,5.899,1.014,2.814,4.0,8.564,6.518,69.77,2006-01-10,-0.43,0.26
0.348,0.368,0.34,0.348,2.0,11.0,1.0,3.15,6.176,1.086,3.028,4.247,9.551,7.125,71.741,2006-01-11,-0.45,0.19
-0.627,-0.056,-0.239,-0.627,3.0,12.0,1.0,2.416,5.543,0.369,2.321,3.57,9.568,7.613,63.781,2006-01-12,-0.43,0.23
0.121,-0.403,-0.176,0.121,4.0,13.0,1.0,2.402,5.615,0.391,2.343,3.613,9.596,8.01,62.083,2006-01-13,-0.43,0.16
-0.363,-0.105,-0.325,-0.363,1.0,17.0,1.0,1.939,5.228,0.022,1.909,3.197,9.135,8.235,58.415,2006-01-17,-0.38,0.16
-0.39,-0.363,-0.511,-0.39,2.0,18.0,1.0,1.465,4.817,-0.295,1.465,2.763,8.271,8.242,63.77,2006-01-18,-0.37,0.13
0.556,0.379,0.46,0.556,3.0,19.0,1.0,1.909,5.304,0.208,1.931,3.235,8.067,8.207,66.158,2006-01-19,-0.36,0.23
-1.833,-0.214,-1.331,-1.833,4.0,20.0,1.0,0.016,3.505,-1.324,0.097,1.4,5.937,7.753,53.434,2006-01-20,-0.26,0.13
0.185,-1.311,0.045,0.185,0.0,23.0,1.0,0.129,3.654,-0.91,0.27,1.551,4.386,7.08,57.832,2006-01-23,-0.21,0.16
0.241,0.259,0.185,0.241,1.0,24.0,1.0,0.296,3.852,-0.534,0.489,1.752,3.363,6.337,48.812,2006-01-24,-0.17,0.23
-0.172,0.031,-0.348,-0.172,2.0,25.0,1.0,0.071,3.653,-0.566,0.305,1.551,2.35,5.539,44.457,2006-01-25,-0.2,0.13
0.724,0.359,0.418,0.724,3.0,26.0,1.0,0.727,4.311,0.125,0.981,2.213,2.259,4.883,50.198,2006-01-26,-0.25,0.13
0.776,0.779,0.724,0.776,4.0,27.0,1.0,1.414,5.006,0.716,1.676,2.908,2.951,4.497,48.997,2006-01-27,-0.29,0.1
0.115,0.121,0.76,0.115,0.0,30.0,1.0,1.44,5.067,0.664,1.719,2.96,3.578,4.313,47.019,2006-01-30,-0.33,0.16
-0.398,-0.213,-0.519,-0.398,1.0,31.0,1.0,0.97,4.634,0.213,1.274,2.521,3.62,4.174,44.52,2006-01-31,-0.33,0.16
0.186,-0.146,0.056,0.186,2.0,1.0,2.0,1.092,4.757,0.319,1.4,2.648,3.801,4.1,43.153,2006-02-01,-0.33,0.13
-0.906,-0.068,-0.771,-0.906,3.0,2.0,2.0,0.152,3.84,-0.474,0.479,1.723,2.973,3.874,41.457,2006-02-02,-0.29,0.1
-0.536,-0.904,-0.529,-0.536,4.0,3.0,2.0,-0.401,3.272,-0.812,-0.055,1.17,1.747,3.449,37.503,2006-02-03,-0.26,0.16
0.078,-0.301,0.048,0.078,0.0,6.0,2.0,-0.328,3.306,-0.587,0.022,1.223,0.845,2.928,40.121,2006-02-06,-0.2,0.19
-0.809,-0.099,-0.635,-0.809,1.0,7.0,2.0,-1.13,2.476,-1.126,-0.763,0.409,-0.688,2.205,37.929,2006-02-07,-0.15,0.16
0.866,0.055,0.093,0.866,2.0,8.0,2.0,-0.257,3.273,-0.206,0.099,1.239,-1.014,1.561,40.271,2006-02-08,-0.15,0.26
-0.148,0.639,0.639,-0.148,3.0,9.0,2.0,-0.415,3.085,-0.283,-0.047,1.071,-1.407,0.968,51.469,2006-02-09,-0.14,0.19
0.254,-0.366,-0.619,0.254,4.0,10.0,2.0,-0.176,3.287,-0.024,0.198,1.296,-1.442,0.486,52.01,2006-02-10,-0.15,0.13
-0.326,-0.228,0.268,-0.326,0.0,13.0,2.0,-0.525,2.924,-0.28,-0.123,0.954,-1.783,0.032,47.498,2006-02-13,-0.09,0.13
1.003,0.886,0.195,1.003,1.0,14.0,2.0,0.457,3.841,0.572,0.837,1.899,-1.02,-0.178,55.999,2006-02-14,-0.09,0.19
0.35,0.218,0.814,0.35,2.0,15.0,2.0,0.781,4.131,0.736,1.137,2.197,-0.053,-0.153,53.598,2006-02-15,-0.11,0.13
0.733,0.655,0.703,0.733,3.0,16.0,2.0,1.46,4.779,1.166,1.784,2.851,1.453,0.168,53.32,2006-02-16,-0.2,0.26
-0.166,0.006,0.318,-0.166,4.0,17.0,2.0,1.26,4.577,0.802,1.557,2.636,2.446,0.624,51.187,2006-02-17,-0.22,0.13
-0.327,0.19,-0.213,-0.327,1.0,21.0,2.0,0.896,4.221,0.381,1.185,2.271,2.86,1.071,51.735,2006-02-21,-0.2,0.03
