Close_Diff,High_Diff,Low_Diff,Open_Diff,Day_of_Week,Day_of_Month,Month,MA_50_Diff,MA_200_Diff,EMA_9_Diff,EMA_50_Diff,EMA_100_Diff,MACD,MACD_Signal,RSI,timestamp,model_smart_dumb_spread_close,model_percent_bearish_close
-1.007,-0.341,0.087,-0.558,0.0,27.0,4.0,7.665,-13.2,0.615,4.055,0.518,16.78,17.461,55.473,2009-04-27,-0.43,0.18
-0.274,-0.501,-0.881,-0.791,1.0,28.0,4.0,7.345,-13.286,0.273,3.642,0.239,16.032,17.175,60.782,2009-04-28,-0.42,0.18
2.161,2.034,1.149,1.684,2.0,29.0,4.0,9.112,-10.687,1.906,5.458,2.303,16.737,17.088,62.588,2009-04-29,-0.42,0.21
-0.095,0.753,1.361,2.406,3.0,30.0,4.0,8.832,-10.596,1.45,5.157,2.166,17.033,17.077,55.016,2009-04-30,-0.45,0.2
0.54,-0.925,-0.277,-1.122,4.0,1.0,5.0,9.096,-9.793,1.584,5.444,2.638,17.447,17.151,55.71,2009-05-01,-0.49,0.21
3.387,3.109,1.514,1.441,0.0,4.0,5.0,11.772,-6.001,3.846,8.207,5.712,19.943,17.709,68.569,2009-05-04,-0.53,0.29
-0.379,-0.017,2.062,2.177,1.0,5.0,5.0,11.081,-6.208,2.784,7.549,5.247,21.397,18.447,65.227,2009-05-05,-0.56,0.25
1.74,1.386,0.737,1.063,2.0,6.0,5.0,12.284,-4.206,3.558,8.773,6.732,23.547,19.467,65.729,2009-05-06,-0.57,0.3
-1.32,1.011,-0.287,1.633,3.0,7.0,5.0,10.796,-5.396,1.814,7.256,5.376,23.994,20.372,60.484,2009-05-07,-0.54,0.25
2.407,0.063,0.851,-1.096,4.0,8.0,5.0,12.513,-2.729,3.297,9.066,7.449,25.814,21.461,79.37,2009-05-08,-0.57,0.3
-2.151,-0.782,-0.039,-0.637,0.0,11.0,5.0,10.206,-4.799,0.937,6.789,5.307,25.351,22.239,67.696,2009-05-11,-0.56,0.29
-0.098,-0.794,-1.345,0.103,1.0,12.0,5.0,9.662,-4.709,0.672,6.435,5.111,24.628,22.716,70.059,2009-05-12,-0.57,0.23
-2.689,-1.111,-1.524,-2.191,2.0,13.0,5.0,6.74,-7.405,-1.659,3.698,2.44,21.832,22.54,59.01,2009-05-13,-0.51,0.2
1.035,-0.778,-0.032,-1.062,3.0,14.0,5.0,7.292,-6.097,-0.494,4.501,3.371,20.123,22.056,57.783,2009-05-14,-0.51,0.18
-1.141,-0.155,-0.406,0.711,4.0,15.0,5.0,5.768,-7.094,-1.323,3.266,2.211,17.741,21.193,57.295,2009-05-15,-0.48,0.18
3.039,1.453,0.811,0.294,0.0,18.0,5.0,8.05,-3.739,1.332,5.879,4.994,17.814,20.517,63.75,2009-05-18,-0.51,0.23
-0.174,0.702,2.161,1.718,1.0,19.0,5.0,7.38,-3.726,0.929,5.491,4.733,17.541,19.922,59.503,2009-05-19,-0.51,0.25
-0.513,0.896,-0.425,0.877,2.0,20.0,5.0,6.495,-4.07,0.334,4.807,4.158,16.756,19.289,58.273,2009-05-20,-0.54,0.2
-1.676,-2.615,-2.414,-2.724,3.0,21.0,5.0,4.526,-5.62,-1.092,3.06,2.475,14.742,18.38,52.761,2009-05-21,-0.5,0.14
-0.15,-0.419,0.471,-0.154,4.0,22.0,5.0,4.075,-5.552,-0.995,2.8,2.282,12.891,17.282,43.952,2009-05-22,-0.49,0.14
2.63,1.685,-0.259,-1.169,1.0,26.0,5.0,6.196,-2.651,1.275,5.084,4.692,13.154,16.456,51.744,2009-05-26,-0.5,0.2
-1.897,0.228,1.181,3.497,2.0,27.0,5.0,4.07,-4.411,-0.507,3.121,2.792,11.833,15.531,42.989,2009-05-27,-0.5,0.16
1.542,-0.48,-0.479,-1.245,3.0,28.0,5.0,5.243,-2.605,0.815,4.412,4.184,11.761,14.777,49.853,2009-05-28,-0.51,0.18
1.357,1.162,1.798,1.327,4.0,29.0,5.0,6.24,-1.03,1.715,5.469,5.359,12.553,14.332,47.211,2009-05-29,-0.54,0.2
2.582,3.016,2.18,2.282,0.0,1.0,6.0,8.263,1.695,3.351,7.54,7.587,14.923,14.451,59.108,2009-06-01,-0.59,0.32
0.198,0.17,1.646,0.799,1.0,2.0,6.0,8.072,2.074,2.834,7.421,7.616,16.76,14.912,59.804,2009-06-02,-0.62,0.25
-1.374,-0.724,-1.557,-0.353,2.0,3.0,6.0,6.558,0.906,1.184,5.89,6.204,16.972,15.324,63.736,2009-06-03,-0.58,0.14
1.148,-0.004,0.592,-0.07,3.0,4.0,6.0,7.329,2.21,1.845,6.686,7.125,17.798,15.819,64.056,2009-06-04,-0.59,0.21
-0.251,0.978,0.518,1.718,4.0,5.0,6.0,6.827,2.137,1.278,6.198,6.755,18.054,16.266,67.04,2009-06-05,-0.59,0.25
-0.101,-0.563,-0.823,-1.859,0.0,8.0,6.0,6.506,2.216,0.942,5.864,6.528,17.972,16.607,60.363,2009-06-08,-0.6,0.25
0.35,0.062,1.048,0.975,1.0,9.0,6.0,6.564,2.736,1.031,5.949,6.719,17.966,16.879,61.935,2009-06-09,-0.59,0.25
-0.348,0.301,-0.874,-0.069,2.0,10.0,6.0,5.915,2.584,0.548,5.4,6.267,17.495,17.002,62.535,2009-06-10,-0.59,0.23
0.611,0.68,1.193,-0.165,3.0,11.0,6.0,6.176,3.346,0.922,5.741,6.701,17.385,17.079,71.276,2009-06-11,-0.62,0.3
0.14,-1.038,-0.36,-0.204,4.0,12.0,6.0,6.021,3.653,0.848,5.642,6.695,17.205,17.104,72.274,2009-06-12,-0.61,0.27
-2.377,-0.407,-1.711,-0.466,0.0,15.0,6.0,3.539,1.501,-1.253,3.213,4.336,15.074,16.698,55.069,2009-06-15,-0.58,0.27
-1.272,-1.533,-0.875,-0.78,1.0,16.0,6.0,2.144,0.445,-2.046,1.889,3.042,12.296,15.818,57.471,2009-06-16,-0.52,0.2
-0.138,-1.03,-0.858,-1.773,2.0,17.0,6.0,1.843,0.511,-1.75,1.685,2.85,9.878,14.63,51.701,2009-06-17,-0.46,0.16
0.841,0.38,0.46,0.066,3.0,18.0,6.0,2.438,1.537,-0.721,2.407,3.588,8.483,13.4,49.648,2009-06-18,-0.43,0.16
0.311,0.56,0.866,1.582,4.0,19.0,6.0,2.533,2.034,-0.327,2.603,3.811,7.521,12.225,37.777,2009-06-19,-0.45,0.16
-3.06,-0.966,-2.485,-1.705,0.0,22.0,6.0,-0.626,-0.866,-2.795,-0.453,0.759,4.433,10.666,27.49,2009-06-22,-0.43,0.14
0.231,-2.117,-0.468,-1.674,1.0,23.0,6.0,-0.475,-0.44,-2.047,-0.213,0.968,2.127,8.958,32.361,2009-06-23,-0.36,0.11
0.652,1.353,0.838,0.724,2.0,24.0,6.0,0.044,0.415,-1.108,0.42,1.578,0.762,7.319,29.043,2009-06-24,-0.31,0.11
2.144,1.16,-0.004,-0.445,3.0,25.0,6.0,1.994,2.671,0.812,2.412,3.572,1.225,6.1,41.453,2009-06-25,-0.33,0.23
-0.148,0.063,1.87,2.051,4.0,26.0,6.0,1.732,2.697,0.532,2.179,3.361,1.466,5.174,41.307,2009-06-26,-0.36,0.16
0.907,0.65,0.345,0.0,0.0,29.0,6.0,2.491,3.745,1.14,2.937,4.146,2.302,4.599,43.743,2009-06-29,-0.38,0.09
-0.853,0.218,-0.362,1.178,1.0,30.0,6.0,1.463,3.098,0.232,2.02,3.255,2.3,4.139,42.137,2009-06-30,-0.35,0.05
0.436,0.205,0.872,-0.19,2.0,1.0,7.0,1.732,3.664,0.532,2.349,3.603,2.592,3.83,41.332,2009-07-01,-0.37,0.05
-2.914,-1.146,-2.65,-1.427,3.0,2.0,7.0,-1.336,0.949,-1.963,-0.559,0.695,0.645,3.193,33.398,2009-07-02,-0.34,0.07
0.257,-2.445,-1.122,-2.462,0.0,6.0,7.0,-1.181,1.346,-1.362,-0.29,0.93,-0.705,2.413,40.367,2009-07-06,-0.33,0.09
-1.968,-0.013,-0.725,0.85,1.0,7.0,7.0,-3.246,-0.45,-2.718,-2.213,-1.038,-3.165,1.298,38.6,2009-07-07,-0.26,0.04
-0.167,-1.313,-1.206,-1.367,2.0,8.0,7.0,-3.468,-0.404,-2.311,-2.291,-1.183,-5.174,0.003,38.54,2009-07-08,-0.23,0.02
